iSession,iTrial,text,A,b,n_constraints,matched_rules,un_pro
1,30,脖子和腿长度适中，头短，尾巴短。,"[[1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.25, -0.75, 0.25, -0.75, -0.5, -0.5]",6,"['general_case', 'general_case', 'general_case']",[]
1,31,脖子比腿长。,"[[1.0, 0.0, -1.0, 0.0]]",[0.0],1,['comparison'],[]
1,32,脖子和腿都比较长，脖子和腿差不多长，头比较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, -1.0, 0.0, 0.0]]","[0.5, 0.5, -0.5]",3,"['general_case', 'general_case']",['脖子和腿差不多长']
1,33,头长，脖子长，腿长，尾巴较短，脖子和腿长度差不多。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",['脖子和腿长度差不多']
1,34,头长，脖子短，腿较长，尾巴长，头和尾巴都很长，但脖子比腿要短一些。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, -0.5, 0.5, 0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,35,脖子和腿较长，脖子比腿稍长一些，头和尾巴较短。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [1.0, 0.0, -1.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.0, -0.5, -0.5]",5,"['general_case', 'comparison', 'general_case']",[]
1,36,头长，脖子长，腿长，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,37,头较长，脖子较短，腿长，尾巴较短，腿比脖子长很多。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, -0.5, 0.5, -0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,38,头短，脖子较短，腿较长，尾巴短，腿比脖子长很多。,"[[0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [-1.0, 0.0, 1.0, 0.0]]","[-0.5, -0.5, 0.5, -0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,39,头短，脖子较短，腿较短，尾巴短，整体看起来比较短小。,"[[0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",['整体看起来比较短小']
1,40,头长，脖子长，腿较长，尾巴长，脖子比腿长一点，头和脖子占的比重比较大。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0], [1.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, 0.5, 0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",['头和脖子占的比重比较大']
1,41,头短，脖子长度适中，腿长度适中，尾巴较短，脖子比腿长一点。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, -1.0, 0.0]]","[-0.5, 0.25, -0.75, 0.25, -0.75, -0.5, 0.0]",7,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",[]
1,42,头长，脖子长，腿长，尾巴短，头和脖子的比重比较大，脖子比腿长一点。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, 0.5, -0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'comparison']",['头和脖子的比重比较大']
1,43,头长，脖子短，腿短，尾巴较短，整体看起来比较短小。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5, -0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",['整体看起来比较短小']
1,44,头短，脖子长，腿长，尾巴短，腿很长。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case', 'general_case']",[]
1,45,头长，脖子长度适中，腿长度适中，尾巴短。,"[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, 0.25, -0.75, 0.25, -0.75, -0.5]",6,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,46,腿很长，腿比脖子长。,"[[0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 1.0, 0.0]]","[0.5, 0.0]",2,"['general_case', 'comparison']",[]
1,47,腿短，脖子较长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0]]","[-0.5, 0.5]",2,"['general_case', 'general_case']",[]
1,48,头长，脖子短，腿短，尾巴短，脖子和腿的长度差不多，头比其他的部位要长很多。,"[[0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0]]","[0.5, -0.5, -0.5, -0.5, 0.5]",5,"['general_case', 'general_case', 'general_case', 'general_case', 'exclusion']",[]
1,49,头和尾巴比较短，脖子较长，腿较长，脖子比腿要长一点。,"[[0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[-0.5, -0.5, 0.5, 0.5, 0.0]",5,"['general_case', 'general_case', 'general_case', 'comparison']",[]
1,50,头短，脖子较长，腿较长，尾巴较短，整体看起来比较修长。,"[[0.0, -1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, 0.5, 0.5, -0.5]",4,"['general_case', 'general_case', 'general_case', 'general_case']",['整体看起来比较修长']
1,51,头长度适中，脖子短，腿短，尾巴较短，整体看起来比较短小。,"[[0.0, 1.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.25, -0.75, -0.5, -0.5, -0.5]",5,"['general_case', 'general_case', 'general_case', 'general_case']",['整体看起来比较短小']
1,52,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,53,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,54,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,55,腿比较短，脖子和头都很长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, 0.5, 0.5]",3,"['general_case', 'general_case']",[]
1,56,腿很短，脖子和头都很长。,"[[0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, 0.5, 0.5]",3,"['general_case', 'general_case']",[]
1,57,腿很长，头和脖子比较长。,"[[0.0, 0.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, 0.5, 0.5]",3,"['general_case', 'general_case']",[]
1,58,腿长度适中，头和脖子比较长，尾巴长度适中，在整体比例中腿显得比较短。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, -1.0, 0.0]]","[0.25, -0.75, 0.5, 0.5, 0.25, -0.75, -0.5]",7,"['general_case', 'general_case', 'general_case', 'general_case']",[]
1,59,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,60,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,61,腿短，头很长。,"[[0.0, 0.0, -1.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, 0.5]",2,"['general_case', 'general_case']",[]
1,62,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,63,腿非常短，其他部位都很长。,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, -1.0, 0.0]]","[0.5, 0.5, 0.5, -0.5]",4,['exclusion'],[]
1,64,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,65,腿比较长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,66,腿很短，几乎所有部位都很短。,"[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5, -0.5, -0.5]",4,"['general_case', 'universal_quantifier']",[]
1,67,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,68,腿短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,69,腿长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,70,腿长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,71,腿比较长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,72,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,73,腿长度适中，腿比脖子短。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[0.25, -0.75, 0.0]",3,"['general_case', 'comparison']",[]
1,74,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,75,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,76,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,77,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,78,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,79,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,80,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,81,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,82,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,83,腿长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,84,腿长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,85,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,86,腿长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,87,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,88,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,89,腿长度适中，腿比脖子短。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[0.25, -0.75, 0.0]",3,"['general_case', 'comparison']",[]
1,90,腿较长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,91,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,92,腿非常短，几乎是最短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],['几乎是最短']
1,93,腿很长，基本是最长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],['基本是最长']
1,94,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,95,腿非常短，基本是最短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],['基本是最短']
1,96,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,97,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,98,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,99,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,100,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,101,腿很长，基本是最长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],['基本是最长']
1,102,腿长度适中，脖子比腿更长，整体很修长。,"[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, -1.0, 0.0], [1.0, 0.0, -1.0, 0.0]]","[0.25, -0.75, 0.0]",3,"['general_case', 'comparison']",['整体很修长']
1,103,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,104,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,105,腿非常长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,106,腿非常短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,107,腿比较长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,108,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,109,腿非常短，几乎是最短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],['几乎是最短']
1,110,腿比较长，脖子也比较长。,"[[0.0, 0.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0]]","[0.5, 0.5]",2,"['general_case', 'general_case']",[]
1,111,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,112,腿比较短，脖子短，头很长。,"[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, -0.5, 0.5]",3,"['general_case', 'general_case', 'general_case']",[]
1,113,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,114,腿很短，几乎是最短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],['几乎是最短']
1,115,腿比较长，头和脖子也比较长。,"[[0.0, 0.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, 0.5, 0.5]",3,"['general_case', 'general_case']",[]
1,116,腿比较长，头短，脖子短。,"[[0.0, 0.0, 1.0, 0.0], [0.0, -1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0]]","[0.5, -0.5, -0.5]",3,"['general_case', 'general_case', 'general_case']",[]
1,117,腿比较短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,118,腿短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,119,腿很短。,"[[0.0, 0.0, -1.0, 0.0]]",[-0.5],1,['general_case'],[]
1,120,腿很长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],[]
1,121,腿非常长，基本是最长。,"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1,['general_case'],['基本是最长']
