mode,iSub,iSession,iTrial,text,un_pro,un_pro_items,un_pro_count,unprocessed_category,n_constraints,matched_rules,A,b,fidelity,fidelity_status,style_tags
region,102,1,174,脖子比头长，但是是最长的两个。,['但是是最长的两个'],但是是最长的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,176,脖子比头短，但是是最短的两个。,['但是是最短的两个'],但是是最短的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,178,脖子比头短，但是是最长的两个。,['但是是最长的两个'],但是是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,179,脖子比头短，但是是最长的两个。,['但是是最长的两个'],但是是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,182,脖子比头短，但都比尾巴短。,['但都比尾巴短'],但都比尾巴短,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,184,脖子比头短，而且不是最长的两个。,['而且不是最长的两个'],而且不是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison', 'negation']"
region,102,1,186,脖子比头短，而且是最长的两个。,['而且是最长的两个'],而且是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,197,脖子比头短，但是是最长的两个。,['但是是最长的两个'],但是是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,199,脖子比头长，但都比较短。,['但都比较短'],但都比较短,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,201,脖子比头长，但是它们两个是最长的。,['但是它们两个是最长的'],但是它们两个是最长的,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,204,脖子比头短，它们两个是最长的。,['它们两个是最长的'],它们两个是最长的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,205,脖子比头短，它们两个是最长的。,['它们两个是最长的'],它们两个是最长的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,206,脖子比头短，它们两个是最长的。,['它们两个是最长的'],它们两个是最长的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,209,脖子短于头，但是它们的平均长度长于尾巴。,['但是它们的平均长度长于尾巴'],但是它们的平均长度长于尾巴,1,global_balance,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison', 'equality']"
region,102,1,211,脖子长于头，但它们是最短的两个。,['但它们是最短的两个'],但它们是最短的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,214,脖子短于头，但它们是最长的两个。,['但它们是最长的两个'],但它们是最长的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,218,脖子长于头，但它们是最小的两个。,['但它们是最小的两个'],但它们是最小的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,219,脖子长于头，但它们是最大的两个。,['但它们是最大的两个'],但它们是最大的两个,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,222,脖子短于头，但它们是最小的两个。,['但它们是最小的两个'],但它们是最小的两个,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,231,脖子短于头，但它们是最小的。,['但它们是最小的'],但它们是最小的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,237,脖子短于头，但是两个都很长。,['但是两个都很长'],但是两个都很长,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,244,脖子短于头，但它们是最小的。,['但它们是最小的'],但它们是最小的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'superlative', 'comparison']"
region,102,1,251,脖子小于头，但它们是最大的。,['但它们是最大的'],但它们是最大的,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['superlative', 'comparison']"
region,102,1,275,两长两短。,['两长两短'],两长两短,1,count_abstract,0,[],[],[],,unsupported,"['direct_absolute', 'count_abstract']"
region,102,1,279,两长两中。,['两长两中'],两长两中,1,other_unparsed,0,[],[],[],,unsupported,['direct_absolute']
region,102,1,286,三长一中。,['三长一中'],三长一中,1,count_abstract,0,[],[],[],,unsupported,"['direct_absolute', 'count_abstract']"
region,102,1,298,脖子比头长，但是都长于腿。,['但是都长于腿'],但是都长于腿,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,299,脖子比头短，但是都长于腿。,['但是都长于腿'],但是都长于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,301,脖子比头短，但是都小于腿。,['但是都小于腿'],但是都小于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,303,脖子比头短，都大于腿。,['都大于腿'],都大于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,305,脖子比头长，都短于腿。,['都短于腿'],都短于腿,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,306,脖子比头长，都长于腿。,['都长于腿'],都长于腿,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,307,脖子比头短，都长于腿。,['都长于腿'],都长于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,308,脖子比头短，都长于腿。,['都长于腿'],都长于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,309,脖子比头长，都大于腿。,['都大于腿'],都大于腿,1,other_unparsed,1,['comparison'],"[[-1.0, 1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,310,脖子比头短，都短于腿。,['都短于腿'],都短于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,311,脖子比头短，都短于腿。,['都短于腿'],都短于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,102,1,313,脖子比头短，都短于腿。,['都短于腿'],都短于腿,1,other_unparsed,1,['comparison'],"[[1.0, -1.0, 0.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,4,尾巴很长，长于头和脖子，腿较短。,['长于头和脖子'],长于头和脖子,1,other_unparsed,2,"['general_case', 'general_case']","[[0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, 0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,5,腿极长，尾巴中等长度，长于头和脖子。,['长于头和脖子'],长于头和脖子,1,other_unparsed,3,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0]]","[-0.5, -0.25, 0.75]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,13,腿很长，脖子和头中等长度，长于较短的尾巴。,['长于较短的尾巴'],长于较短的尾巴,1,other_unparsed,5,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[-0.5, -0.25, 0.75, -0.25, 0.75]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,21,腿较短，尾巴较长，长于头和脖子。,['长于头和脖子'],长于头和脖子,1,other_unparsed,2,"['general_case', 'general_case']","[[0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[0.5, -0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,33,腿很短，脖子很长，长于尾巴，尾巴和头中等长度。,['长于尾巴'],长于尾巴,1,other_unparsed,6,"['general_case', 'general_case', 'general_case']","[[0.0, 0.0, 1.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0], [0.0, -1.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, -0.5, -0.25, 0.75, -0.25, 0.75]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,35,尾巴很长，长于头和脖子，头、脖子、腿都很短。,['长于头和脖子'],长于头和脖子,1,other_unparsed,4,"['general_case', 'general_case']","[[0.0, 0.0, 0.0, -1.0], [0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, 0.5, 0.5, 0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,44,腿中等，头较长，尾巴较长，明显长于脖子。,['明显长于脖子'],明显长于脖子,1,other_unparsed,4,"['general_case', 'general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.25, 0.75, -0.5, -0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,52,腿较长，脖子中等较长，长于尾巴。,['长于尾巴'],长于尾巴,1,other_unparsed,2,"['general_case', 'general_case']","[[0.0, 0.0, -1.0, 0.0], [-1.0, 0.0, 0.0, 0.0]]","[-0.5, -0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,95,头、脖子、尾巴都中等，略长一点，腿较短。,['略长一点'],略长一点,1,other_unparsed,7,"['general_case', 'general_case']","[[0.0, -1.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [-1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 1.0, 0.0]]","[-0.25, 0.75, -0.25, 0.75, -0.25, 0.75, 0.5]",1.0,ok,['direct_absolute']
region,103,1,143,尾巴很长，长于头和脖子，且腿中等偏短。,['长于头和脖子'],长于头和脖子,1,other_unparsed,2,"['general_case', 'general_case']","[[0.0, 0.0, 0.0, -1.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, 0.5]",1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,185,尾巴较长，长于脖子和头。,['长于脖子和头'],长于脖子和头,1,other_unparsed,1,['general_case'],"[[0.0, 0.0, 0.0, -1.0]]",[-0.5],1.0,ok,"['direct_absolute', 'comparison']"
region,103,1,202,脖子和尾巴较长，长于头和腿。,['长于头和腿'],长于头和腿,1,other_unparsed,2,['general_case'],"[[-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0]]","[-0.5, -0.5]",0.5,mismatch,"['direct_absolute', 'comparison']"
region,104,1,109,头长，较均匀。,['较均匀'],较均匀,1,global_balance,1,['general_case'],"[[0.0, -1.0, 0.0, 0.0]]",[-0.5],1.0,ok,"['direct_absolute', 'equality']"
region,104,1,139,比较均匀。,['比较均匀'],比较均匀,1,global_balance,0,[],[],[],,unsupported,"['comparison', 'equality']"
region,105,1,17,腿短于阈值。,['腿短于阈值'],腿短于阈值,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'comparison']"
region,106,1,15,有两个部位一样长。,['有两个部位一样长'],有两个部位一样长,1,count_abstract,0,[],[],[],,unsupported,"['direct_absolute', 'equality', 'count_abstract']"
region,106,1,32,头离地面近。,['头离地面近'],头离地面近,1,other_unparsed,0,[],[],[],,unsupported,['other']
region,106,1,33,头离地面近。,['头离地面近'],头离地面近,1,other_unparsed,0,[],[],[],,unsupported,['other']
region,106,1,34,头离地面远。,['头离地面远'],头离地面远,1,other_unparsed,0,[],[],[],,unsupported,['other']
region,106,1,35,头距离地面比较近。,['头距离地面比较近'],头距离地面比较近,1,other_unparsed,0,[],[],[],,unsupported,['comparison']
region,106,1,55,腿不是最长的。,['腿不是最长的'],腿不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,106,1,58,腿不是最长的。,['腿不是最长的'],腿不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,106,1,105,点错了。,['点错了'],点错了,1,other_unparsed,0,[],[],[],,unsupported,['other']
region,106,1,170,下半身腿比上面的高。,['下半身腿比上面的高'],下半身腿比上面的高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,171,腿离地面距离不如躯体最高点的距离高。,['腿离地面距离不如躯体最高点的距离高'],腿离地面距离不如躯体最高点的距离高,1,body_geometry,0,[],[],[],,unsupported,['superlative']
region,106,1,172,上面的高度小于下面。,['上面的高度小于下面'],上面的高度小于下面,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,173,上面的高度大于下面。,['上面的高度大于下面'],上面的高度大于下面,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,174,下面的部分更高一些。,['下面的部分更高一些'],下面的部分更高一些,1,body_geometry,0,[],[],[],,unsupported,['other']
region,106,1,175,下面的部分更高一些。,['下面的部分更高一些'],下面的部分更高一些,1,body_geometry,0,[],[],[],,unsupported,['other']
region,106,1,176,下面的部分高于上面。,['下面的部分高于上面'],下面的部分高于上面,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,177,下面的高度高于上面。,['下面的高度高于上面'],下面的高度高于上面,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,178,下面的高度比上面高。,['下面的高度比上面高'],下面的高度比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,179,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,180,躯体下方没有上面高。,['躯体下方没有上面高'],躯体下方没有上面高,1,body_geometry,0,[],[],[],,unsupported,['negation']
region,106,1,181,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,182,躯体下方没有上面高。,['躯体下方没有上面高'],躯体下方没有上面高,1,body_geometry,0,[],[],[],,unsupported,['negation']
region,106,1,183,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,184,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,185,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,186,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,187,躯体下方比上面高。,['躯体下方比上面高'],躯体下方比上面高,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,106,1,188,躯体下方没有上面高，腿太短。,['躯体下方没有上面高'],躯体下方没有上面高,1,body_geometry,1,['general_case'],"[[0.0, 0.0, 1.0, 0.0]]",[0.5],1.0,ok,"['direct_absolute', 'negation']"
region,106,1,190,躯体下方比上面高一些。,['躯体下方比上面高一些'],躯体下方比上面高一些,1,body_geometry,0,[],[],[],,unsupported,['comparison']
region,107,1,45,头和尾巴很长，脖子也挺长，但相对短一些，腿很短。,['但相对短一些'],但相对短一些,1,other_unparsed,4,"['general_case', 'general_case', 'general_case']","[[0.0, -1.0, 0.0, 0.0], [0.0, 0.0, 0.0, -1.0], [-1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, -0.5, -0.5, 0.5]",1.0,ok,['direct_absolute']
region,107,1,95,腿、脖子和头比例比较协调，尾巴短。,['腿、脖子和头比例比较协调'],腿、脖子和头比例比较协调,1,proportion_or_ratio,1,['general_case'],"[[0.0, 0.0, 0.0, 1.0]]",[0.5],0.0,mismatch,"['direct_absolute', 'comparison', 'group_sum']"
region,107,1,111,腿、脖子和头长度差不多，都不算很长。,['都不算很长'],都不算很长,1,other_unparsed,6,['equality'],"[[-1.0, 0.0, 1.0, 0.0], [1.0, 0.0, -1.0, 0.0], [0.0, -1.0, 1.0, 0.0], [0.0, 1.0, -1.0, 0.0], [1.0, -1.0, 0.0, 0.0], [-1.0, 1.0, 0.0, 0.0]]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.0,mismatch,"['direct_absolute', 'equality', 'negation']"
region,107,1,164,尾巴、腿、脖子和头长度差不多，都还挺长的。,['都还挺长的'],都还挺长的,1,other_unparsed,12,['equality'],"[[0.0, 0.0, -1.0, 1.0], [0.0, 0.0, 1.0, -1.0], [-1.0, 0.0, 0.0, 1.0], [1.0, 0.0, 0.0, -1.0], [0.0, -1.0, 0.0, 1.0], [0.0, 1.0, 0.0, -1.0], [-1.0, 0.0, 1.0, 0.0], [1.0, 0.0, -1.0, 0.0], [0.0, -1.0, 1.0, 0.0], [0.0, 1.0, -1.0, 0.0], [1.0, -1.0, 0.0, 0.0], [-1.0, 1.0, 0.0, 0.0]]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.0,mismatch,"['direct_absolute', 'equality']"
region,107,1,191,腿、脖子和头不算特别长，且长度相当。,['且长度相当'],且长度相当,1,global_balance,3,['general_case'],"[[0.0, 0.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0]]","[0.5, 0.5, 0.5]",0.0,mismatch,"['direct_absolute', 'equality', 'negation']"
region,108,1,8,脖子和尾巴显著比腿长。,['脖子和尾巴显著比腿长'],脖子和尾巴显著比腿长,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'comparison']"
region,108,1,14,头和脖子显著比腿和尾巴长。,['头和脖子显著比腿和尾巴长'],头和脖子显著比腿和尾巴长,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'comparison']"
region,108,1,26,腿比脖子短，比尾巴长。,['比尾巴长'],比尾巴长,1,other_unparsed,1,['comparison'],"[[-1.0, 0.0, 1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,29,腿比脖子短，比头和尾巴长。,['比头和尾巴长'],比头和尾巴长,1,other_unparsed,1,['comparison'],"[[-1.0, 0.0, 1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,31,腿比脖子长，比尾巴短。,['比尾巴短'],比尾巴短,1,other_unparsed,1,['comparison'],"[[1.0, 0.0, -1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,42,腿比脖子短，比尾巴长。,['比尾巴长'],比尾巴长,1,other_unparsed,1,['comparison'],"[[-1.0, 0.0, 1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,53,腿比脖子和尾巴短，比头长。,['比头长'],比头长,1,other_unparsed,2,['comparison'],"[[-1.0, 0.0, 1.0, 0.0], [0.0, 0.0, 1.0, -1.0]]","[-0.0, -0.0]",1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,54,腿比脖子和尾巴短，比头长。,['比头长'],比头长,1,other_unparsed,2,['comparison'],"[[-1.0, 0.0, 1.0, 0.0], [0.0, 0.0, 1.0, -1.0]]","[-0.0, -0.0]",1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,164,腿比脖子短，比尾巴长。,['比尾巴长'],比尾巴长,1,other_unparsed,1,['comparison'],"[[-1.0, 0.0, 1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,166,腿比尾巴，腿比脖子短。,['腿比尾巴'],腿比尾巴,1,other_unparsed,1,['comparison'],"[[-1.0, 0.0, 1.0, 0.0]]",[-0.0],1.0,ok,"['direct_absolute', 'comparison']"
region,108,1,225,选错了。,['选错了'],选错了,1,meta_or_uncertain,0,[],[],[],,meta,['meta']
region,108,2,34,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,35,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,36,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,37,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,38,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,39,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,43,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,44,脖子不是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,0,[],[],[],,unsupported,"['direct_absolute', 'superlative', 'negation']"
region,108,2,48,脖子不是最长的，腿是最长的。,['脖子不是最长的'],脖子不是最长的,1,other_unparsed,3,"['superlative', 'superlative', 'superlative']","[[1.0, 0.0, -1.0, 0.0], [0.0, 1.0, -1.0, 0.0], [0.0, 0.0, -1.0, 1.0]]","[-0.0, -0.0, -0.0]",1.0,ok,"['direct_absolute', 'superlative', 'negation']"
region,108,2,69,选错了。,['选错了'],选错了,1,meta_or_uncertain,0,[],[],[],,meta,['meta']
region,109,1,211,脖子，头较长，腿一般。,['脖子'],脖子,1,other_unparsed,3,"['general_case', 'general_case']","[[0.0, -1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [0.0, 0.0, 1.0, 0.0]]","[-0.5, -0.25, 0.75]",1.0,ok,['direct_absolute']
